"Indiquez le nom de votre structure";"Ce formulaire est destiné à enregistrer votre jeu au sein de l'espace Indépendant. Les informations textes et images de votre jeu seront exploitées dans des documents de communication.";"Nom du jeu / projet présenté";"Description de votre jeu : Quel type ? Nombre de joueurs ? Quelle ambiance ?  (environ 500 caractères maximum)";"Sur quelle plateforme(s)";"Si autre précisez :";"Un site web ?";"Une vidéo ?";"Screenshot 1";"Screenshot 2";"Screenshot 3";"Jaquette";"Date de sortie du jeu (effective, prévue ou estimée) (jj/mm/aaaa)";"Quel matériel amenez-vous ? (nombre d'écran, PC, manettes ...)";"De quel matériel auriez-vous idéalement besoin ?";"Commentaire";"Traité";"Date Modification";"";"";""
"PIRANAKING";"J'ai compris";"LASTFIGHT";"LASTFIGHT est un jeu de combat / plateforme en 3D au style arcade inspiré de la bande dessinée récemment récompensée à Angoulêmes : LASTMAN.
 Plein d’humour, technique, fun, jouable à 4, LASTFIGHT présentera un roster de 10 personnages. Chacune des 8 arènes sera parsemée de boosts et d’objets spécifiques, pour un gameplay renouvelé à chaque partie !
 LASTFIGHT est encore en développement, spécialement pour le STUNFEST nous allons faire une version beta avec 5 personnages et 3 arenes
 Ça sera la première fois qu'on montrera le jeu en public !";"Windows,Console";"";"http://www.lastfightgame.com/";"https://www.youtube.com/watch?v=uLFxFKmqYDs";"http://files.intrazik.com/231/piranaking-screenshot-1-3133-493-20150420-160302.png";"http://files.intrazik.com/231/piranaking-screenshot-2-3371-493-20150420-160303.png";"http://files.intrazik.com/231/piranaking-screenshot-3-3373-493-20150420-160304.png";"http://files.intrazik.com/231/piranaking-jaquette-3375-493-20150420-160305.png";"";"2 bornes (avec écrans) pour jouer à Lastfight
 Chaque borne a un PC avec le jeu en beta
 Chaque borne à 4 manettes
 En comptant les 2 bornes il peut y avoir entre 2 et 8 joueurs en simultané
 +1 un poste pour éventuellement jouer en oculus en solo à Lastfight ";"Est il possible d'avoir des tabourets de borne d'arcade ? de quoi asseoir 4 personnes par borne ?
 (42cm c'est la hauteur d'un tabouret de borne d'arcade normalement)
 Et un fauteuil pour l'Oculus
 Et un banc pour nous :]";"";"non";"2015-04-20 16:02:59";"";"";""
"EMEDION GAMES";"J'ai compris";"StarPicker";"Genre : Course/Action/Réflexion
 Nombre de joueurs : 1
 Rating : 8+
 StarPicker est un jeu de course d’orientation dans un univers retrofuturiste.
 Sauvez le monde plongé dans le chaos depuis la disparition de la voûte céleste. Embarquez dans l’équipe de StarPicker et explorez des lieux fabuleux pour retrouver les étoiles manquantes, avec une carte et une boussole comme uniques armes. Incarnant le célèbre joueur de football américain Janus “Electric Eel” White, évoluez librement et avec agilité au travers de différents environnements et de leurs obstacles.
 Saurez-vous trouver le chemin le plus rapide dans cette course aux étoiles ?
 *Tags: Orienteering, Parkour, Speed Run, Land Navigation";"Windows,OSX,Linux";"";"https://www.facebook.com/StarPickerTheGame";"";"http://files.intrazik.com/231/emedion-games-screenshot-1-3133-493-20150420-151651.jpg";"http://files.intrazik.com/231/emedion-games-screenshot-2-3371-493-20150420-151652.jpg";"http://files.intrazik.com/231/emedion-games-screenshot-3-3373-493-20150420-151652.jpg";"";"Q1 2016";"Nous serons très restreint dans le matériel qu'il nous est possible d'amener car les seuls PC que nous possédons sont ceux sur lesquels nous développons nos projets.
 Néanmoins nous avons la possibilité d'apporter:
 1 clavier
 1 souris
 1 gamepad Xbox
 (Rien de sûr pour le moment concernant la PLV).";"Au minimum un poste de travail complet :
 1 ordinateur avec Windows
 1 clavier
 1 souris
 1 écran
 1 gamepad Xbox.";"";"non";"2015-04-20 15:16:51";"";"";""
"BULWARK STUDIOS";"J'ai compris";"Crowntakers";"Crowntakers est un tactical roguelike solo prenant place dans un univers médiéval fictif. Le joueur y incarne le fils illégitime d'un roi en chemin pour libérer ce dernier, enfermé dans les geôles de son propre château. Pour se faire, le joueur devra traverser les différentes contrées du royaume, recruter un groupe de mercenaires, les entraîner, pour finalement accomplir sa quête.";"Windows,OSX,Linux,iOS,Android";"";"http://www.bulwarkstudios.com";"https://www.youtube.com/watch?v=sRdNGCnxGTo";"http://files.intrazik.com/231/bulwark-studios-screenshot-1-3133-493-20150420-094929.jpg";"http://files.intrazik.com/231/bulwark-studios-screenshot-2-3371-493-20150420-094929.jpg";"http://files.intrazik.com/231/bulwark-studios-screenshot-3-3373-493-20150420-094930.jpg";"http://files.intrazik.com/231/bulwark-studios-jaquette-3375-493-20150420-094930.jpg";"07/11/2014";"Nous amènerons un PC et une à deux tablettes, vraisemblablement un poster si l'on peut l'afficher et un kakemono.";"Il nous faudrait une table et 2 chaises pour le PC et si c'est possible un canapé - ou deux fauteuils - ou des chaises confortables pour les testeurs de la version tablette. Merci!";"";"non";"2015-04-20 09:49:29";"";"";""
"BALLISTIC FROGS";"J'ai compris";"Psycho Starship Rampage";"Psycho Starship Rampage est un space-shooter à scrolling horizontal dans lequel 1 à 4 joueurs construisent leur vaisseau et tentent de retrouvez la Terre.
 Assemblez votre vaisseau spatial comme vous l’entendez. Ajoutez de l’armement. Détruisez des ennemis variés à travers de nombreux niveaux et pillez leurs carcasses. Puis améliorez votre vaisseau, ajoutez encore plus d’armes et sautez vers le prochain secteur pour plus d’action !";"Windows,OSX,Linux";"";"http://www.ballisticfrogs.com";"";"http://files.intrazik.com/231/ballistic-frogs-screenshot-1-3133-493-20150419-182038.png";"http://files.intrazik.com/231/ballistic-frogs-screenshot-2-3371-493-20150419-182038.png";"http://files.intrazik.com/231/ballistic-frogs-screenshot-3-3373-493-20150419-182039.png";"";"15/09/2015";"•2 PCs portables
 •2 Ecrans (un 27"" et un 24"")
 •4 manettes Xbox 360
 •2 casques audio.
 •Flyers, affiches.";"•Une table (ou 2) pour tenir deux pc portables avec •Ecrans externes.
 •Chaises (2 pour nous, 2 voir 4 pour les joueurs).
 •De l'électricité, avec une multi-prise (4 prises minimum)";"";"non";"2015-04-19 18:20:38";"";"";""
"ACREPLUME";"J'ai compris";"Raids of Nohosphere";"La Nohosphère est l'incarnation de l'imaginaire collectif, peuplée de tous les mythes, toutes les pensées de toutes les époques. A l'aide de puissantes créatures, protégez les anciens équilibres, affrontez les forteresses ennemies au travers de combats alliant réflexes et stratégie. Découvrez l'Histoire et les menaces de Royaumes entre médiéval fantastique, mythologie, et traces futuristes.
 Une interface audio peut être activée pour les joueurs déficients visuels. (MMORPG 2D, PC Windows)";"Windows";"";"rono.fr";"https://www.youtube.com/watch?v=eP9JRrZH8Ss";"http://files.intrazik.com/231/acreplume-screenshot-1-3133-493-20150417-122614.jpg";"http://files.intrazik.com/231/acreplume-screenshot-2-3371-493-20150417-122614.jpg";"http://files.intrazik.com/231/acreplume-screenshot-3-3373-493-20150417-122614.jpg";"http://files.intrazik.com/231/acreplume-jaquette-3375-493-20150417-122615.jpg";"";"PC Windows, souris, haut ­parleurs stéréo basiques
 Décorations";"Table, sièges";"";"non";"2015-04-17 12:26:14";"";"";""
"CONCRETE GAMES";"J'ai compris";"MacGuffin";"""Bien. Vos billets d’avion pour Chichijima sont prêts. J'ai fait un virement bancaire au montant de 1 000 000 sur votre compte. Je vous assisterai par smartphone quand vous serez dans la centrale nucléaire. J'espère que vous comprenez que ne pas trouver le MacGuffin n'est pas une option."" Richard N
 MacGuffin est une comédie/aventure à la premiere personne dans un present alternatif.
 Le jeu est inspiré par Jazzpunk, Gravity Bone et The Stanley Parable.";"Windows,OSX";"";"http://macguffin-game.com";"https://www.youtube.com/watch?v=KdmdpmZoepQ";"http://files.intrazik.com/231/concrete-games-screenshot-1-3133-493-20150416-120146.png";"http://files.intrazik.com/231/concrete-games-screenshot-2-3371-493-20150416-120146.png";"http://files.intrazik.com/231/concrete-games-screenshot-3-3373-493-20150416-120146.png";"";"5/5/2015";"Un ou deux ordinateurs complets pour jouer. Un décor spectaculaire aux normes de sécurité et d'espace disponible.";"Table, chaise, de l'espace, prises électriques.";"";"non";"2015-04-16 12:01:45";"";"";""
"CEDRIC GUILLEMET";"J'ai compris";"Herd Story";"Herd Story suit l'aventure de Granson qui essaie de comprendre pourquoi des gens étranges sont apparus dans son monde. Son monde immaculé commence à prendre des couleurs et des choses étranges poussent un peu partout. C'est le moment de fuir et de chercher des réponses un peu plus loin.";"Windows";"";"nop";"nop";"http://files.intrazik.com/231/cedric-guillemet-screenshot-1-3133-493-20150415-204111.png";"http://files.intrazik.com/231/cedric-guillemet-screenshot-2-3371-493-20150415-204112.png";"http://files.intrazik.com/231/cedric-guillemet-screenshot-3-3373-493-20150415-204112.png";"http://files.intrazik.com/231/cedric-guillemet-jaquette-3375-493-20150415-204113.png";"01/06/2016";"PC+PAD+ecran+casque";"Rien de spécial";"ANNULE";"non";"2015-05-04 16:33:48";"";"";""
"TRISKELL INTERACTIVE";"Sélectionner";"Lethis - Path of Progress";"Il s'agit d'un city builder old school en 2D isométrique dans un univers victorien steampunk. Le jeu se joue en solo, offline uniquement.";"Windows";"";"http://lethispop.com/";"https://www.youtube.com/watch?v=nQceJegynYA";"http://files.intrazik.com/231/triskell-interactive-screenshot-1-3133-493-20150415-093145.png";"http://files.intrazik.com/231/triskell-interactive-screenshot-2-3371-493-20150415-093146.png";"";"http://files.intrazik.com/231/triskell-interactive-jaquette-3375-493-20150415-093146.png";"26/06/2015";"- 1 kakemono
 - 1 PC portable
 Si il est impossible pour vous de fournir une partie du matériel, nous pouvons éventuellement ramener des PC fixes équipés nous même.";"Idéalement :
 - 2 PC avec clavier, souris, écran + casque.
 - Une grande table pour ces 2 PC avec au moins deux chaises pour les joueurs.
 - Une table basse avec de quoi s'asseoir autour (petit canapé, pouf) pour discuter avec les joueurs autour du jeu et dédicacer des artworks.
 - De quoi connecter tout ce petit monde au réseau électrique.";"";"non";"2015-04-15 09:31:45";"";"";""
"LEIKIR STUDIO";"J'ai compris";"1 Shot 1 Kill";"1 Shot 1 Kill is a couch multiplayer battle arena game. From 1 to 4 players in coop or versus modes.
 The game features 4 weapons with distinct effects: the bow, the boomerang, the hammer and the slingshot. Rules are simple: one weapon and one ammo at a time. Shoot, dodge pick-up ammo and own your opponents.
 No Luck, Just Skill!";"Windows,OSX,Linux,Console";"";"https://www.facebook.com/1shot1killthegame";"https://www.youtube.com/watch?v=I-cqG-lPGoY";"http://files.intrazik.com/231/leikir-studio-screenshot-1-3133-493-20150414-174802.jpg";"";"";"";"estimée fin 2015";"2 pc et 8 manettes de xbox";"Canap et grande télé";"";"non";"2015-04-14 17:48:02";"";"";""
"LEIKIR STUDIO";"J'ai compris";"Isbarah";"Isbarah est une fusion entre le platformer et le bullet hell. C'est un jeu particulièrement hardcore où chaque niveau est un duel contre un Boss.
 Vous contrôlez votre personnage comme dans un platformer et votre adversaire agit comme dans un bullet hell.
 Pour faire la liaison entre ces deux gameplay vous possédez trois pouvoirs :
 Un ralentissement du temps : Cela vous permet d 'agir précisément et d'analyser la situation.
 Un dash omni directionnel : Il vous permet de bouger à très grande vitesse et de gérer les situations extrêmes.
 Une barrière d'énergie : Tracer ce mur vous permettra de vous en servir comme d'un bouclier ou comme d'une plateforme.
 Pour survivre dans Isbarah vous devez gérer correctement vos pouvoirs et vos déplacements. Tout est dans l'art de l'esquive.";"Windows,OSX,Linux";"";"http://www.leikir-studio.com/isbarah";"https://www.youtube.com/watch?v=yAzQbCPMr38";"http://files.intrazik.com/231/leikir-studio-screenshot-1-3133-493-20150414-173346.png";"http://files.intrazik.com/231/leikir-studio-screenshot-2-3371-493-20150414-173347.jpg";"http://files.intrazik.com/231/leikir-studio-screenshot-3-3373-493-20150414-173347.jpg";"http://files.intrazik.com/231/leikir-studio-jaquette-3375-493-20150414-173347.jpg";"25/02/2015";"2 PC et 2 écran,Kakémono, Poster,Flyers";"Table, chaise";"";"non";"2015-04-14 17:33:46";"";"";""
"SUSHEE";"J'ai compris";"Hazelrun";"Hazelrun est un jeu de course multijoueur compétitif. Il met en scène 4 écureuils qui doivent se frayer un chemin dans un parcours semé d'obstacles, sans se faire rattraper par le scrolling.
 Le jeu prend tout son intérêt à quatre joueurs, chacun tentant de rattraper l'autre au moyen de noisettes piégées, d'inverseurs de gravité ou de marteaux rétrécissants.";"Windows,iOS,Android,Console";"";"";"";"http://files.intrazik.com/231/sushee-screenshot-1-3133-493-20150414-172851.png";"http://files.intrazik.com/231/sushee-screenshot-2-3371-493-20150414-172852.png";"";"http://files.intrazik.com/231/sushee-jaquette-3375-493-20150414-172852.png";"01/12/2015";"Console Android avec 4 manettes.";"Télévision grande taille, si possible.
 Canapé, si possible aussi ;)";"";"non";"2015-04-14 17:28:51";"";"";""
"SUSHEE";"J'ai compris";"Goetia";"Goetia est un point'n click qui se déroule dans un univers fantastique. Vous incarnez un fantôme, Abigail Blackwood, à la recherche de réponses à propos de la disparition mystérieuse de membres de sa famille.
 Le jeu, soutenu par Square-Enix, est prévu pour la fin de l'année 2015 sur PC, Mac et Linux.";"Windows,OSX,Linux";"";"http://playgoetia.com/";"https://www.youtube.com/watch?v=v7uJVNp7ps4";"http://files.intrazik.com/231/sushee-screenshot-1-3133-493-20150414-171627.jpg";"http://files.intrazik.com/231/sushee-screenshot-2-3371-493-20150414-171628.jpg";"";"http://files.intrazik.com/231/sushee-jaquette-3375-493-20150414-171628.jpg";"15/10/2015";"PLV petite taille.";"1 ou 2 ordinateurs, souris uniquement, pas de clavier, si possible avec chaises pour les joueurs.";"";"non";"2015-04-14 17:16:27";"";"";""
